centro_titular|centro_nombre|distancia|centro_educativo_centrico
A GATAS ESCUELA INFANTIL S.L.|A GATAS|0.0|1
ABETITOS AND CHILDREN, S.L.|ABETITOS AND CHILDREN|0.0|1
ACADEMIA AYENSA, S.L.|AYENSA|0.0|1
ACADEMIA DIAZ BALAGUER,S.L.|DIAZ BALAGUER|0.0|1
ACENIT,S.L.|CENIT|0.0|1
ACTIV. CULT. CENTRO ENSEÑANZA ESTUDIO LAS NACIONES, S.L.UNIP|LAS NACIONES|0.0|1
ACTIVIDADES INFANTILES, S.L.|LANDILAN|0.0|1
ADACEM ESCUELA INFANTIL, S.L. UNIPERSONAL|NEMOMARLIN BUTARQUE|0.0|1
ADAGIO CONSULTORIA Y SERVICIOS, S.L.L.|EL MUNDO DE MOZART I|0.0|1
ADELA LEON COELLO|NANOS|0.0|1
ADELA MARIA BALLESTER DE GREGORIO|BAMBINOS|0.0|1
ADELLIS, S.A.(3-9-90 BOE 20-9-90)|LOS SAUCES|0.0|1
AFANIAS|ESTUDIO 3|743.604901812784|1
AFANIAS|NUESTRA SEÑORA DE LAS VICTORIAS|743.604901812784|1
AFUERA2, S.L. UNIPERSONAL|AFUERA II|0.0|1
AGRONOMÍA Y EDUCACIÓN, S.L.|LA CASITA DE CARAMELO|0.0|1
ALAMOS DEL ARDAL, S.L.|EL ARDAL|0.0|1
ALEGRE KOALA 3, S.L.|ALEGRE KOALA|0.0|1
ALFONSO XIII 30, S.L.|OSOBUCO II|0.0|1
ALFREDO GONZALEZ PONT|PROGRESO MUSICAL|0.0|1
ALHUCEMA SDAD. COOP. MADRILEÑA DE ENSEÑANZA|ALHUCEMA|0.0|1
ALJAPALE, S.L.|DOMO|0.0|1
ALMUDENA OLIVER PINACHO|LAS HUERTAS|0.0|1
ALTAMIRA DE FUENLABRADA SDAD.COOP. MADRILEÑA|ALTAMIRA|0.0|1
AMAYA VERGARA ECHEVERRIA|LITTLE LIONS|0.0|1
ANA MARIA ARANDA DONOSO|DALMATAS|0.0|1
ANA MARTINEZ-FRESNEDA GOMENDIO|PAMBOLA|0.0|1
ANASEDUCACION, S.L.|LITTLE WITCH|0.0|1
ANDARINES ESCUELA INFANTIL, S.L.|ANDARINES II|0.0|1
ANDEL PROMOCIONES EDUCATIVAS, S.A. UNIPERSONAL|ANDEL|0.0|1
ANGEL GARCIA DE LA SERNA HERNANDEZ|BLANCAS Y NEGRAS|0.0|1
ANGEL LLORENTE GUTIERREZ|LICEO SOROLLA C|0.0|1
ANGELES SANTIAGO OROZCO|LOS ABETOS|0.0|1
ANTONIO AYALA GARCIA|CASA MENUDA|0.0|1
ANTONIO GILABERT GARCIA Y MARIA JESUS PLAZA SACHEZ|SAGRADA FAMILIA|0.0|1
ANTONIO GILABERT GCIA. Y DOS MAS|ACADEMIA TOAN|0.0|1
ANTONIO MACHADO DE PARLA, SDAD. COOP. MADRILEÑA DE ENSEÑANZA|CASTILLA|0.0|1
ANTONIO NAVAS SANZ|LOS PINOS AYELEM|0.0|1
AQUINAS INTERNATIONAL SCHOOL, S.L.|AQUINAS INTERNATIONAL SCHOOL|0.0|1
ARANZAZU ESTEVEZ RODRIGUEZ Y ASUNCION DIAZ CAÑAMARES|CHULY|0.0|1
ARBOS S.L. UNIPERSONAL|HAPPY SCHOOL|0.0|1
ARCADIA, SDAD. COOP. MADRILEÑA|ARCADIA|0.0|1
ARCOS JIO,  S.A.|LA ESCUELITA DEL ENCINAR|0.0|1
ARETEIA, S.A.|ARETEIA|0.0|1
ARGENTINA MARTINEZ RODRIGUEZ, MANUEL RODRIGUEZ CARNERO|LOS PINOS|0.0|1
ARGOLIDA,S.A.|ALTAIR, COLEGIO INTERNACIONAL|0.0|1
ARMONIA ESCUELA INFANTIL, S.L.|ARMONIA|0.0|1
ARTURO SORIA SDAD.COOP.DE ENSEÑANZA|ARTURO SORIA|0.0|1
ARZOBISPADO DE MADRID|NUESTRA SEÑORA DE LA PAZ|292.95000106673496|1
ARZOBISPADO DE MADRID|NUESTRA SEÑORA DE MORATALAZ|1471.2386628705078|0
ARZOBISPADO DE MADRID|NUESTRA SEÑORA DE LAS DELICIAS|1991.5655156496862|0
ARZOBISPADO DE MADRID|BEATA MARIA ANA DE JESUS|2430.4958759736664|0
ARZOBISPADO DE MADRID|SEMIN.MENOR ARZ.LA INMACULADA Y S.DAMASO|3564.684095838648|0
ARZOBISPADO DE MADRID|SAN EULOGIO|5556.7992318532615|0
ARZOBISPADO DE MADRID|SAN ROQUE|5684.8663091690205|0
ARZOBISPADO DE MADRID|COLEGIO SAN PEDRO APOSTOL|9934.463433076042|0
ASENSIO & BUSTAMANTE, S.L.|NEMOMARLIN MAJADAHONDA DELTA|0.0|1
ASESORIA DIDACTICA S.A.|LICEO VILLA FONTANA|0.0|1
ASOC. NUESTRA SEÑORA SALUS INFIRMORUM, DIOCESIS DE MADRID|CASA DEL NIÑO|0.0|1
ASOC.PADRES Y AMIGOS NIÑOS DIFERENTES-APANID|NUESTRA SEÑORA DE LA ESPERANZA|0.0|1
ASOCIAC.PADRES Y FAMILIARES DE MINUS.PSIQUICOS Y SENSORIALES|ALENTA|0.0|1
ASOCIACION ALDEAS INFANTILES S.O.S. DE ESPAÑA|ALDEAS INFANTILES S.O.S. DE ESPAÑA|0.0|1
ASOCIACION ARAYA (AUTISMO Y TRASTORNOS PROFUNDOS)|ARAYA|0.0|1
ASOCIACION AYUDA ATENCION AL PARALITICO CEREBRAL (ATENPACE)|ATENPACE|0.0|1
ASOCIACION CIVIL INSTITUCION TERESIANA|INSTITUTO VERITAS|0.0|1
ASOCIACION COLEGIO ALEMAN DE MADRID|COLEGIO ALEMAN DE MADRID (ALEMAN)|0.0|1
ASOCIACION COLEGIO HOF DER LAGE LANDEN|HOF DER LAGE LANDEN (PAISES BAJOS)|0.0|1
ASOCIACION CULTURAL ESCUELA POPULAR DE PROSPERIDAD|ESCUELA POPULAR DE PROSPERIDAD|0.0|1
ASOCIACION CULTURAL NORTE JOVEN|CEN-TALLER NORTE JOVEN,VILLA DE VALLECAS|0.0|1
ASOCIACION CULTURAL SAINT EXUPERY|ECOLE SAINT-EXUPERY (FRANCES)|0.0|1
ASOCIACION CULTURAL SURCO|OBRA SO.N.S.MONTSERRAT-S.SIMON Y S.JUDAS|0.0|1
ASOCIACION DE GESTION DOCENTE Y CULTURAL|CENTRO EDUCATIVO PONCE DE LEON|0.0|1
ASOCIACION DE GESTION DOCENTE Y CULTURAL|CENTRO EDUCATIVO PONCE DE LEON|0.0|1
ASOCIACION DE LA ESC.AMERICANA DE MADRID|AMERICAN SCHOOL OF MADRID (EE.UU.)|0.0|1
ASOCIACION DE PADRES DE ALUMNOS DEL INTA (A.P.A.I.)|LA CASITA|0.0|1
ASOCIACION DEL COLEGIO ESCANDINAVO|COLEGIO ESCANDINAVO (SUECO)|0.0|1
ASOCIACION DEL COLEGIO SUIZO DE MADRID|COLEGIO SUIZO DE MADRID (SUIZO)|0.0|1
ASOCIACION EDUCATIVA, CALASANZ|CALASANZ|0.0|1
ASOCIACION EL DESPERTAR|EL DESPERTAR|0.0|1
ASOCIACION ESCUELA LIBRE MICAEL|ESCUELA LIBRE MICAEL|0.0|1
ASOCIACION FEDA MADRID|CENTRO DE FORMACION EMPRESARIAL (ALEMAN)|0.0|1
ASOCIACION JARDIN DE INFANCIA SAN VICENTE DE PAUL|SAN VICENTE DE PAUL|0.0|1
ASOCIACION NACIONAL PRESENCIA GITANA|CAN-TA-CHIMUTRI (SOL Y LUNA)|0.0|1
ASOCIACION PADRE/MADRES Y PROFESIONALES ¡SÍ PUEDO!|LOS ALAMOS|0.0|1
ASOCIACION PADRES DE NIÑOS CIEGOS (A.P.N.I.C.)|SAN CARLOS|0.0|1
ASOCIACION PARA LA INVESTIGACION Y ESTUDIO DE LA DEFICIENCIA|CEPRI|0.0|1
ASOCIACION PAUTA|PAUTA|0.0|1
ASOCIACION PRO-HUERFANOS GUARDIA CIVIL|MARQUES DE VALLEJO|0.0|1
ASOCIACION SCUOLA MATERNA ITALIANA DI MADRID|SCUOLA MATERNA ITALIANA DE MADRID (ITALIANO)|0.0|1
ASOCIACIÓN DE PADRES DE PERSONAS CON AUTISMO|LEO KANNER|0.0|1
ASOCIACIÓN JARDÍN DE INFANCIA NUESTRA SEÑORA DEL CAMINO|NUESTRA SEÑORA DEL CAMINO|0.0|1
ASTOR-ASOCIAC.PADRES CON HIJOS DISCAPACIDAD INTELEC.TORREJON|VIRGEN DE LORETO ASTOR|0.0|1
ASUNCION GONZALO PRIETO|EL REY DE LA CASA|0.0|1
ASUNTA PEREZ ESPINOZA|MIS PRIMEROS PASOS|0.0|1
AYUNTAMIENTO|EL DUENDE|1049.650588036832|1
AYUNTAMIENTO|ESCUELA DE ADULTOS DE MONCLOA|1739.4559859340002|0
AYUNTAMIENTO|RUIZ JIMENEZ|2207.94106594699|0
AYUNTAMIENTO|AGUA DULCE|2311.0286202896264|0
AYUNTAMIENTO|MARIA RODRIGO|2361.151927906043|0
AYUNTAMIENTO|MANUEL VAZQUEZ MONTALBAN|2698.9009948431462|0
AYUNTAMIENTO|SAN ILDEFONSO|2701.9919793767663|0
AYUNTAMIENTO|EL BOSQUE|3495.540781263998|0
AYUNTAMIENTO|ESCUELA DE ADULTOS DE ARGANZUELA|4630.3357952178|0
AYUNTAMIENTO|INMACULADA CONCEPCION|5516.023541679585|0
AYUNTAMIENTO|TARABILLA|5528.173627575164|0
AYUNTAMIENTO|PRINCESA SOFIA|5549.522407944013|0
AYUNTAMIENTO|LA CORNISA|5984.014941523508|0
AYUNTAMIENTO|LA CARACOLA|6011.898545677744|0
AYUNTAMIENTO|EL LIRON|6015.841191842227|0
AYUNTAMIENTO|CARMELO ALONSO BERNAOLA|6070.406657517577|0
AYUNTAMIENTO|FRAY PEDRO PONCE DE LEON|6502.311011430254|0
AYUNTAMIENTO|FRANCISCO DEL POZO|6658.6987157354815|0
AYUNTAMIENTO|ANTONIO MACHADO|6668.260781101065|0
AYUNTAMIENTO|FUNDACION GOYENECHE|6734.659698339341|0
AYUNTAMIENTO|ESCUELA MUNICIPAL DE ADULTOS USERA|7045.559049403646|0
AYUNTAMIENTO|JOAN MIRO|7093.204930511268|0
AYUNTAMIENTO|VALLECAS|7666.292657443756|0
AYUNTAMIENTO|LA QUINTA|7870.725348864021|0
AYUNTAMIENTO|LAS VIÑAS|7928.068596264378|0
AYUNTAMIENTO|POZUELO DE ALARCON|8786.44728647154|0
AYUNTAMIENTO|VILLA DE VALLECAS (ESC. MUN. MUSICA)|9111.059995712027|0
AYUNTAMIENTO|EL ROCIO|9361.740208597215|0
AYUNTAMIENTO|AGATA-VILLAVERDE|9876.170923116075|0
AYUNTAMIENTO|LA LUNA|10168.9276293264|0
AYUNTAMIENTO|ESCUELA DE ADULTOS DE BARAJAS|10420.618335604815|0
AYUNTAMIENTO|BURBUJAS|10758.09394935562|0
AYUNTAMIENTO|ROSA CARAMELO|10837.24002520601|0
AYUNTAMIENTO|LA COLINA|10933.883111231411|0
AYUNTAMIENTO|FORTUNA|11298.520842021173|0
AYUNTAMIENTO|COSLADA|11305.540656296913|0
AYUNTAMIENTO|CHARLIE RIVEL|11534.116173509106|0
AYUNTAMIENTO|AVENTURAS|11710.425982195686|0
AYUNTAMIENTO|VALDELAPARRA|12406.254857266855|0
AYUNTAMIENTO|JEROMIN|12703.896059150364|0
AYUNTAMIENTO|VALLE INCLAN|12823.10481700506|0
AYUNTAMIENTO|DIAMELA|13208.57164405487|0
AYUNTAMIENTO|COLORINES|13278.56323307068|0
AYUNTAMIENTO|MANUEL DE FALLA|13425.984691850694|0
AYUNTAMIENTO|ALCOBENDAS|13470.022235928926|0
AYUNTAMIENTO|MAESTRO GOMBAU|13635.08533152876|0
AYUNTAMIENTO|MANUEL RODRIGUEZ SALES|13762.028366275415|0
AYUNTAMIENTO|GLORIA FUERTES|13799.812185315777|0
AYUNTAMIENTO|LOS PINOS|13908.677153805938|0
AYUNTAMIENTO|ACUARELA|14049.256299392317|0
AYUNTAMIENTO|HUERTA CHICA|14074.69725093219|0
AYUNTAMIENTO|SAN FERNANDO DE HENARES|14173.372643891464|0
AYUNTAMIENTO|SAN SEBASTIAN DE LOS REYES|14363.204828270718|0
AYUNTAMIENTO|ARCO IRIS|14379.179628511985|0
AYUNTAMIENTO|LAS CUMBRES|14389.40080841695|0
AYUNTAMIENTO|POLICHINELA|14500.310940250023|0
AYUNTAMIENTO|PLATERO|14722.571560835746|0
AYUNTAMIENTO|ESCUELA MUNICIPAL RAMON MARIA DEL VALLE INCLAN|14792.622856702976|0
AYUNTAMIENTO|SOL Y LUNA|14885.487759485557|0
AYUNTAMIENTO|ENRIQUE GRANADOS|14905.229723592562|0
AYUNTAMIENTO|TALIN|14999.148103619791|0
AYUNTAMIENTO|ACUARELA|15023.464859390991|0
AYUNTAMIENTO|LA LOCOMOTORA|15162.590431861076|0
AYUNTAMIENTO|LUNA LUNERA|15332.985695536929|0
AYUNTAMIENTO|RIVAS-VACIAMADRID|15438.911954636666|0
AYUNTAMIENTO|RAYUELA|15569.391098426919|0
AYUNTAMIENTO|PARACUELLOS DE JARAMA|16025.179678005932|0
AYUNTAMIENTO|ACHALAY|16410.11223035091|0
AYUNTAMIENTO|LUIGI BOCCHERINI|16420.553011293032|0
AYUNTAMIENTO|SOLETES|16474.858316495815|0
AYUNTAMIENTO|TAMARAL|16512.363117564604|0
AYUNTAMIENTO|JOAQUIN RODRIGO|16607.934050002626|0
AYUNTAMIENTO|EL DUENDE|16976.493536944403|0
AYUNTAMIENTO|TAKARA|17077.976054557224|0
AYUNTAMIENTO|LA CIGÜEÑA MARIA|17120.892426780083|0
AYUNTAMIENTO|DIONISIO AGUADO|17522.822848401618|0
AYUNTAMIENTO|EL ROMERAL|17603.506499013594|0
AYUNTAMIENTO|CALEIDOSCOPIO|17864.11343719654|0
AYUNTAMIENTO|LA LINTERNA MAGICA|17963.919647909122|0
